Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
3,BDOW,1,3,0,2,0,59.4,0.018665086,0.047427474,67.5,0.043600228,66.76917523,25.76917523,,,,,
3,BDOW,1,3,1,2,0,59.5,0.018881218,0.047976658,67.6,0.044105094,66.86917513,25.86917513,,,,,
3,BDOW,1,1,0,2,0,59.7,0.019321018,0.048532202,67.7,0.044520477,66.95059631,25.95059631,,,,,
3,BDOW,1,1,1,2,0,60.6,0.021430386,0.05260536,68.4,0.048042299,67.61187565,26.61187565,,,,,
3,BDOW,1,1,1,2,0,60.4,0.020942571,0.05260536,68.4,0.048256944,67.65059635,26.65059635,,,,,
3,BDOW,1,3,0,2,0,60.5,0.021185075,0.053214501,68.5,0.048815732,67.75059625,26.75059625,,,,,
3,BDOW,1,2,0,2,0,59.7,0.019321018,0.053214501,68.5,0.049583076,67.88606932,26.88606932,,,,,
3,BDOW,1,2,0,2,0,60.2,0.02046586,0.055722423,68.9,0.051827956,68.27068168,27.27068168,,,,,
3,BDOW,1,2,1,2,0,60,0.02,0.055722423,68.9,0.052009503,68.3010542,27.3010542,,,,,
3,BDOW,3,3,0,2,0,59.4,0.018665086,0.055722423,68.9,0.052503362,68.38314231,27.38314231,,,,,
3,BDOW,3,2,0,2,0,59.4,0.018665086,0.05768063,69.2,0.05457719,68.71962348,27.71962348,,,,,
3,BDOW,1,3,1,2,0,60.8,0.021929564,0.061098422,69.7,0.057027286,69.10105422,28.10105422,,,,,
3,BDOW,3,2,1,2,0,59.4,0.018665086,0.05834854,69.3,0.055282607,68.83117046,27.83117046,,,,,
3,BDOW,1,3,1,2,0,60.2,0.02046586,0.061098422,69.7,0.057568791,69.18314233,28.18314233,,,,,
3,BDOW,1,1,1,2,0,60.5,0.021185075,0.062521587,69.9,0.058822967,69.3703386,28.3703386,,,,,
3,BDOW,3,3,0,2,0,59.2,0.018240217,0.060399034,69.6,0.05757897,69.18467793,28.18467793,,,,,
3,BDOW,1,3,1,2,0,60.6,0.021430386,0.064718731,70.2,0.061067608,69.69561821,28.69561821,,,,,
3,BDOW,1,2,0,2,0,59.3,0.018451429,0.061805909,69.8,0.058987415,69.39458741,28.39458741,,,,,
3,BDOW,1,2,1,2,0,59.4,0.018665086,0.063245553,70,0.06042859,69.60424936,28.60424936,,,,,
3,BDOW,3,3,0,2,0,59.4,0.018665086,0.063977902,70.1,0.061194661,69.71367072,28.71367072,,,,,
3,BDOW,1,2,0,2,0,59.4,0.018665086,0.064718731,70.2,0.061968772,69.82285789,28.82285789,,,,,
3,BDOW,1,3,1,2,0,59.2,0.018240217,0.065468139,70.3,0.062875844,69.94907659,28.94907659,,,,,
3,BDOW,1,2,1,2,0,59.5,0.018881218,0.066226224,70.4,0.063477652,70.03181722,29.03181722,,,,,
3,BDOW,1,2,1,2,0,59.8,0.019544744,0.066993088,70.5,0.064078677,70.11367079,29.11367079,,,,,
3,BDOW,1,1,1,2,0,60.8,0.021929564,0.070150375,70.9,0.066634596,70.45339542,29.45339542,,,,,
3,BDOW,3,1,1,2,0,59.4,0.018665086,0.066993088,70.5,0.06434041,70.14907662,29.14907662,,,,,
3,BDOW,1,3,1,2,0,59.7,0.019321018,0.067768831,70.6,0.064956237,70.23181723,29.23181723,,,,,
